Eb (eV)     P               S               R
5000        0.9994758650    7.5537612132    0.9999982055
10000       0.9865455749    4.3084472226    0.9999991142
15000       0.9570114301    3.1468210156    0.9999994290
20000       0.9210085073    2.5384151196    0.9999995745
25000       0.8847024226    2.1602388633    0.9999996551
30000       0.8505448018    1.9007586090    0.9999997051
35000       0.8192875377    1.7108481172    0.9999997387
40000       0.7909913308    1.5653795483    0.9999997625
45000       0.7654569852    1.4501162760    0.9999997802
50000       0.7424049171    1.3563663731    0.9999997938
55000       0.7215480682    1.2785098311    0.9999998044
60000       0.7026207674    1.2127470773    0.9999998131
65000       0.6853869790    1.1564119002    0.9999998201
70000       0.6696407457    1.1075745673    0.9999998260
75000       0.6552062191    1.0648087771    0.9999998310
80000       0.6419294514    1.0270252488    0.9999998353
85000       0.6296802400    0.9933884304    0.9999998389
90000       0.6183466157    0.9632424533    0.9999998421
95000       0.6078299964    0.9360598505    0.9999998450
100000      0.5980474375    0.9114212011    0.9999998475
