Eb (eV)     P               S               R
5000        0.7237330713    1.2863877478    0.9991748516
10000       0.5083729242    0.7100348258    0.9999878754
15000       0.3964770499    0.5049712108    0.9999979333
20000       0.3287265170    0.3985786497    0.9999991503
25000       0.2832717448    0.3330585128    0.9999994701
30000       0.2506022197    0.2884853546    0.9999995974
35000       0.2259465606    0.2561143646    0.9999996629
40000       0.2066506323    0.2314915898    0.9999997025
45000       0.1911200215    0.2121047308    0.9999997293
50000       0.1783384950    0.1964267632    0.9999997488
55000       0.1676271998    0.1834748614    0.9999997636
60000       0.1585150591    0.1725871610    0.9999997754
65000       0.1506647175    0.1633012560    0.9999997851
70000       0.1438280802    0.1552840821    0.9999997931
75000       0.1378185325    0.1482895113    0.9999997999
80000       0.1324929158    0.1421316010    0.9999998057
85000       0.1277395859    0.1366672596    0.9999998108
90000       0.1234700622    0.1317844191    0.9999998153
95000       0.1196133904    0.1273941389    0.9999998192
100000      0.1161119358    0.1234248485    0.9999998227
